snapshot_date,billing_cycles,subscription_id,record_state,charge_rule_code,charge_rate,fixed_charge_amount
20250115,1,SUBSCRIPTION-1001,0,RULE_001,0.01,2
20250115,1,SUBSCRIPTION-1001,0,RULE_002,0.02,4
20250115,1,SUBSCRIPTION-1001,0,RULE_004,0.03,6
20250115,1,SUBSCRIPTION-1001,0,RULE_008,0.04,8
20250115,1,SUBSCRIPTION-1001,0,RULE_009,0.05,10
20250115,1,SUBSCRIPTION-1001,0,RULE_011,0.06,12
20250115,1,SUBSCRIPTION-1001,0,RULE_016,0.07,14
20250115,1,SUBSCRIPTION-1001,0,RULE_017,0.08,16
20250115,1,SUBSCRIPTION-1001,0,RULE_023,0.09,18
20250115,1,SUBSCRIPTION-1001,0,RULE_028,0.1,20
